city,pollutant,year,expected_hours,rows_in_file,non_null_readings,pct_missing,min_value,max_value,n_impossible,pct_impossible_of_readings
Hyderabad,SO2,2015,8674,8674,8380,3.39,0.05,132.31,0,0.0
Hyderabad,SO2,2016,8784,8784,7765,11.6,0.02,143.58,0,0.0
Hyderabad,SO2,2017,8760,8760,8223,6.13,0.05,199.93,0,0.0
Hyderabad,SO2,2018,8760,8760,8756,0.05,1.68,69.58,0,0.0
Hyderabad,SO2,2019,8760,8760,8760,0.0,0.95,78.08,0,0.0
Hyderabad,SO2,2020,4369,4369,4369,0.0,1.3,45.6,0,0.0
Hyderabad,Toluene,2015,8674,8674,5767,33.51,0.0,78.61,0,0.0
Hyderabad,Toluene,2016,8784,8784,8150,7.22,0.0,83.43,0,0.0
Hyderabad,Toluene,2017,8760,8760,8728,0.37,0.0,105.82,0,0.0
Hyderabad,Toluene,2018,8760,8760,8756,0.05,0.35,164.18,0,0.0
Hyderabad,Toluene,2019,8760,8760,8760,0.0,0.0,128.68,0,0.0
Hyderabad,Toluene,2020,4369,4369,4369,0.0,0.06,109.53,0,0.0
Hyderabad,Xylene,2015,8674,8674,5767,33.51,0.0,189.11,0,0.0
Hyderabad,Xylene,2016,8784,8784,8150,7.22,0.0,28.62,0,0.0
Hyderabad,Xylene,2017,8760,8760,8728,0.37,0.0,39.2,0,0.0
Hyderabad,Xylene,2018,8760,8760,8756,0.05,0.0,85.79,0,0.0
Hyderabad,Xylene,2019,8760,8760,8760,0.0,0.0,68.8,0,0.0
Hyderabad,Xylene,2020,4369,4369,4369,0.0,0.0,34.67,0,0.0
Kolkata,Benzene,2018,6374,6374,6322,0.82,0.0,327.57,0,0.0
Kolkata,Benzene,2019,8760,8760,8753,0.08,0.0,165.65,0,0.0
Kolkata,Benzene,2020,4369,4369,4369,0.0,0.25,120.08,0,0.0
Kolkata,CO,2018,6374,6374,6353,0.33,0.0,5.69,0,0.0
Kolkata,CO,2019,8760,8760,8758,0.02,0.14,6.27,0,0.0
Kolkata,CO,2020,4369,4369,4369,0.0,0.19,4.78,0,0.0
Kolkata,NH3,2018,6374,6374,6302,1.13,0.01,439.05,0,0.0
Kolkata,NH3,2019,8760,8760,8756,0.05,2.51,256.15,0,0.0
Kolkata,NH3,2020,4369,4369,4369,0.0,5.32,71.69,0,0.0
Kolkata,NO,2018,6374,6374,5650,11.36,0.02,496.23,0,0.0
Kolkata,NO,2019,8760,8760,8719,0.47,1.11,498.97,0,0.0
Kolkata,NO,2020,4369,4369,4369,0.0,1.18,365.27,0,0.0
Kolkata,NO2,2018,6374,6374,5670,11.04,0.16,233.5,0,0.0
Kolkata,NO2,2019,8760,8760,8756,0.05,4.49,324.41,0,0.0
Kolkata,NO2,2020,4369,4369,4369,0.0,3.75,161.93,0,0.0
Kolkata,NOx,2018,6374,6374,6296,1.22,0.0,493.4,0,0.0
Kolkata,NOx,2019,8760,8760,8721,0.45,6.28,494.73,0,0.0
Kolkata,NOx,2020,4369,4369,4369,0.0,7.14,391.37,0,0.0
Kolkata,O3,2018,6374,6374,5034,21.02,0.02,170.42,0,0.0
Kolkata,O3,2019,8760,8760,8758,0.02,2.51,145.15,0,0.0
Kolkata,O3,2020,4369,4369,4369,0.0,3.14,153.32,0,0.0
Kolkata,PM10,2018,6374,6374,4947,22.39,0.75,999.99,0,0.0
Kolkata,PM10,2019,8760,8760,8755,0.06,9.12,747.22,0,0.0
Kolkata,PM10,2020,4369,4369,4369,0.0,10.55,424.28,0,0.0
Kolkata,PM2.5,2018,6374,6374,4936,22.56,0.02,871.24,0,0.0
Kolkata,PM2.5,2019,8760,8760,8756,0.05,3.3,686.1,0,0.0
Kolkata,PM2.5,2020,4369,4369,4369,0.0,2.04,234.82,0,0.0
Kolkata,SO2,2018,6374,6374,4780,25.01,0.07,131.19,0,0.0
Kolkata,SO2,2019,8760,8760,8758,0.02,0.32,78.34,0,0.0
Kolkata,SO2,2020,4369,4369,4369,0.0,2.61,80.2,0,0.0
Kolkata,Toluene,2018,6374,6374,6313,0.96,0.0,250.0,0,0.0
Kolkata,Toluene,2019,8760,8760,8756,0.05,0.0,250.33,0,0.0
Kolkata,Toluene,2020,4369,4369,4369,0.0,1.14,120.2,0,0.0
Kolkata,Xylene,2018,6374,6374,0,100.0,,,0,
Kolkata,Xylene,2019,8760,8760,4985,43.09,0.0,39.5,0,0.0
Kolkata,Xylene,2020,4369,4369,4367,0.05,0.06,19.09,0,0.0
Lucknow,Benzene,2015,8759,8759,7202,17.78,0.01,66.45,0,0.0
Lucknow,Benzene,2016,8784,8784,6474,26.3,0.0,310.47,0,0.0
Lucknow,Benzene,2017,8760,8760,8326,4.95,0.0,69.64,0,0.0
Lucknow,Benzene,2018,8760,8760,8758,0.02,0.0,54.91,0,0.0
Lucknow,Benzene,2019,8760,8760,8759,0.01,0.0,45.82,0,0.0
Lucknow,Benzene,2020,4369,4369,4368,0.02,0.0,132.81,0,0.0
Lucknow,CO,2015,8759,8759,7241,17.33,0.0,50.0,0,0.0
Lucknow,CO,2016,8784,8784,4549,48.21,0.0,48.47,0,0.0
Lucknow,CO,2017,8760,8760,6227,28.92,0.0,48.88,0,0.0
Lucknow,CO,2018,8760,8760,8758,0.02,0.0,18.64,0,0.0
Lucknow,CO,2019,8760,8760,8759,0.01,0.05,4.99,0,0.0
Lucknow,CO,2020,4369,4369,4369,0.0,0.12,7.02,0,0.0
Lucknow,NH3,2015,8759,8759,0,100.0,,,0,
Lucknow,NH3,2016,8784,8784,0,100.0,,,0,
Lucknow,NH3,2017,8760,8760,2264,74.16,0.03,153.1,0,0.0
Lucknow,NH3,2018,8760,8760,8376,4.38,4.8,476.47,0,0.0
Lucknow,NH3,2019,8760,8760,8509,2.87,0.03,397.65,0,0.0
Lucknow,NH3,2020,4369,4369,3979,8.93,0.01,138.2,0,0.0
Lucknow,NO,2015,8759,8759,8539,2.51,0.07,278.49,0,0.0
Lucknow,NO,2016,8784,8784,7823,10.94,0.01,489.27,0,0.0
Lucknow,NO,2017,8760,8760,8609,1.72,0.06,369.85,0,0.0
Lucknow,NO,2018,8760,8760,8751,0.1,0.23,323.29,0,0.0
Lucknow,NO,2019,8760,8760,8759,0.01,2.09,315.06,0,0.0
Lucknow,NO,2020,4369,4369,4369,0.0,1.1,245.0,0,0.0
Lucknow,NO2,2015,8759,8759,8578,2.07,0.02,257.64,0,0.0
Lucknow,NO2,2016,8784,8784,7843,10.71,0.07,242.38,0,0.0
Lucknow,NO2,2017,8760,8760,8604,1.78,2.88,242.95,0,0.0
Lucknow,NO2,2018,8760,8760,8751,0.1,4.02,241.8,0,0.0
Lucknow,NO2,2019,8760,8760,8759,0.01,3.73,218.76,0,0.0
Lucknow,NO2,2020,4369,4369,4369,0.0,3.34,209.71,0,0.0
Lucknow,NOx,2015,8759,8759,8580,2.04,2.21,57.9,0,0.0
Lucknow,NOx,2016,8784,8784,5899,32.84,2.21,185.8,0,0.0
Lucknow,NOx,2017,8760,8760,3071,64.94,2.73,290.8,0,0.0
Lucknow,NOx,2018,8760,8760,8758,0.02,11.07,360.38,0,0.0
Lucknow,NOx,2019,8760,8760,8759,0.01,4.22,286.06,0,0.0
Lucknow,NOx,2020,4369,4369,4369,0.0,3.2,266.24,0,0.0
Lucknow,O3,2015,8759,8759,8586,1.98,0.81,153.38,0,0.0
Lucknow,O3,2016,8784,8784,7937,9.64,0.07,194.08,0,0.0
Lucknow,O3,2017,8760,8760,8567,2.2,1.14,198.37,0,0.0
Lucknow,O3,2018,8760,8760,8614,1.67,1.2,196.3,0,0.0
Lucknow,O3,2019,8760,8760,8759,0.01,1.76,130.19,0,0.0
Lucknow,O3,2020,4369,4369,4368,0.02,1.07,91.41,0,0.0
Lucknow,PM10,2015,8759,8759,0,100.0,,,0,
Lucknow,PM10,2016,8784,8784,0,100.0,,,0,
Lucknow,PM10,2017,8760,8760,0,100.0,,,0,
Lucknow,PM10,2018,8760,8760,0,100.0,,,0,
Lucknow,PM10,2019,8760,8760,0,100.0,,,0,
Lucknow,PM10,2020,4369,4369,0,100.0,,,0,
Lucknow,PM2.5,2015,8759,8759,6701,23.5,1.07,997.93,0,0.0
Lucknow,PM2.5,2016,8784,8784,7869,10.42,0.65,999.99,0,0.0
Lucknow,PM2.5,2017,8760,8760,8598,1.85,0.1,999.99,0,0.0
Lucknow,PM2.5,2018,8760,8760,8736,0.27,5.35,999.99,0,0.0
Lucknow,PM2.5,2019,8760,8760,8759,0.01,6.37,652.88,0,0.0
Lucknow,PM2.5,2020,4369,4369,4369,0.0,12.55,505.62,0,0.0
Lucknow,SO2,2015,8759,8759,7159,18.27,0.01,199.95,0,0.0
Lucknow,SO2,2016,8784,8784,7943,9.57,0.02,161.28,0,0.0
Lucknow,SO2,2017,8760,8760,8578,2.08,0.01,68.93,0,0.0
Lucknow,SO2,2018,8760,8760,8747,0.15,0.9,66.03,0,0.0
Lucknow,SO2,2019,8760,8760,8759,0.01,0.53,62.65,0,0.0
Lucknow,SO2,2020,4369,4369,4369,0.0,0.27,57.4,0,0.0
Lucknow,Toluene,2015,8759,8759,7188,17.94,0.01,144.71,0,0.0
Lucknow,Toluene,2016,8784,8784,5443,38.04,0.0,313.13,0,0.0
Lucknow,Toluene,2017,8760,8760,8367,4.49,0.0,233.03,0,0.0
Lucknow,Toluene,2018,8760,8760,8758,0.02,0.0,168.31,0,0.0
Lucknow,Toluene,2019,8760,8760,8759,0.01,0.0,216.54,0,0.0
Lucknow,Toluene,2020,4369,4369,4368,0.02,0.0,170.4,0,0.0
Lucknow,Xylene,2015,8759,8759,0,100.0,,,0,
Lucknow,Xylene,2016,8784,8784,0,100.0,,,0,
Lucknow,Xylene,2017,8760,8760,0,100.0,,,0,
Lucknow,Xylene,2018,8760,8760,0,100.0,,,0,
Lucknow,Xylene,2019,8760,8760,0,100.0,,,0,
Lucknow,Xylene,2020,4369,4369,0,100.0,,,0,
Mumbai,Benzene,2015,8759,8759,8407,4.02,0.0,0.0,0,0.0
Mumbai,Benzene,2016,8784,8784,4240,51.73,0.0,0.0,0,0.0
Mumbai,Benzene,2017,8760,8760,8126,7.24,0.0,17.48,0,0.0
Mumbai,Benzene,2018,8760,8760,7863,10.24,0.0,191.05,0,0.0
Mumbai,Benzene,2019,8760,8760,8656,1.19,0.0,37.76,0,0.0
Mumbai,Benzene,2020,4369,4369,4369,0.0,0.1,75.94,0,0.0
Mumbai,CO,2015,8759,8759,8635,1.42,0.0,0.0,0,0.0
Mumbai,CO,2016,8784,8784,8247,6.11,0.0,0.0,0,0.0
Mumbai,CO,2017,8760,8760,8525,2.68,0.0,0.01,0,0.0
Mumbai,CO,2018,8760,8760,7900,9.82,0.0,6.41,0,0.0
Mumbai,CO,2019,8760,8760,8628,1.51,0.01,7.13,0,0.0
Mumbai,CO,2020,4369,4369,4369,0.0,0.16,3.83,0,0.0
Mumbai,NH3,2015,8759,8759,0,100.0,,,0,
Mumbai,NH3,2016,8784,8784,0,100.0,,,0,
Mumbai,NH3,2017,8760,8760,0,100.0,,,0,
Mumbai,NH3,2018,8760,8760,0,100.0,,,0,
Mumbai,NH3,2019,8760,8760,5073,42.09,3.19,165.54,0,0.0
Mumbai,NH3,2020,4369,4369,4369,0.0,1.45,52.13,0,0.0
Mumbai,NO,2015,8759,8759,0,100.0,,,0,
Mumbai,NO,2016,8784,8784,0,100.0,,,0,
Mumbai,NO,2017,8760,8760,0,100.0,,,0,
Mumbai,NO,2018,8760,8760,4723,46.08,0.28,489.36,0,0.0
Mumbai,NO,2019,8760,8760,8507,2.89,0.93,406.54,0,0.0
Mumbai,NO,2020,4369,4369,4369,0.0,1.96,188.48,0,0.0
Mumbai,NO2,2015,8759,8759,0,100.0,,,0,
Mumbai,NO2,2016,8784,8784,0,100.0,,,0,
Mumbai,NO2,2017,8760,8760,0,100.0,,,0,
Mumbai,NO2,2018,8760,8760,4664,46.76,0.16,230.31,0,0.0
Mumbai,NO2,2019,8760,8760,8499,2.98,0.38,152.86,0,0.0
Mumbai,NO2,2020,4369,4369,4369,0.0,1.68,111.76,0,0.0
Mumbai,NOx,2015,8759,8759,8608,1.72,0.19,491.89,0,0.0
Mumbai,NOx,2016,8784,8784,4921,43.98,0.09,489.87,0,0.0
Mumbai,NOx,2017,8760,8760,1017,88.39,0.0,464.24,0,0.0
Mumbai,NOx,2018,8760,8760,7634,12.85,0.0,491.81,0,0.0
Mumbai,NOx,2019,8760,8760,8504,2.92,3.51,400.58,0,0.0
Mumbai,NOx,2020,4369,4369,4369,0.0,9.63,248.5,0,0.0
Mumbai,O3,2015,8759,8759,0,100.0,,,0,
Mumbai,O3,2016,8784,8784,0,100.0,,,0,
Mumbai,O3,2017,8760,8760,2,99.98,10.22,24.26,0,0.0
Mumbai,O3,2018,8760,8760,5227,40.33,3.34,169.99,0,0.0
Mumbai,O3,2019,8760,8760,8667,1.06,0.55,185.86,0,0.0
Mumbai,O3,2020,4369,4369,4369,0.0,4.39,118.85,0,0.0
Mumbai,PM10,2015,8759,8759,0,100.0,,,0,
Mumbai,PM10,2016,8784,8784,0,100.0,,,0,
Mumbai,PM10,2017,8760,8760,0,100.0,,,0,
Mumbai,PM10,2018,8760,8760,4430,49.43,0.01,862.64,0,0.0
Mumbai,PM10,2019,8760,8760,8596,1.87,5.53,453.98,0,0.0
Mumbai,PM10,2020,4369,4369,4369,0.0,4.32,344.14,0,0.0
Mumbai,PM2.5,2015,8759,8759,0,100.0,,,0,
Mumbai,PM2.5,2016,8784,8784,0,100.0,,,0,
Mumbai,PM2.5,2017,8760,8760,0,100.0,,,0,
Mumbai,PM2.5,2018,8760,8760,5152,41.19,0.05,689.24,0,0.0
Mumbai,PM2.5,2019,8760,8760,8663,1.11,0.01,445.22,0,0.0
Mumbai,PM2.5,2020,4369,4369,4369,0.0,2.24,146.82,0,0.0
Mumbai,SO2,2015,8759,8759,0,100.0,,,0,
Mumbai,SO2,2016,8784,8784,0,100.0,,,0,
Mumbai,SO2,2017,8760,8760,2,99.98,3.62,193.86,0,0.0
Mumbai,SO2,2018,8760,8760,5168,41.0,0.39,164.37,0,0.0
Mumbai,SO2,2019,8760,8760,8629,1.5,0.04,62.22,0,0.0
Mumbai,SO2,2020,4369,4369,4369,0.0,2.82,52.24,0,0.0
Mumbai,Toluene,2015,8759,8759,8375,4.38,0.0,0.0,0,0.0
Mumbai,Toluene,2016,8784,8784,4260,51.5,0.0,0.0,0,0.0
Mumbai,Toluene,2017,8760,8760,8104,7.49,0.0,46.72,0,0.0
Mumbai,Toluene,2018,8760,8760,2673,69.49,0.0,31.67,0,0.0
Mumbai,Toluene,2019,8760,8760,0,100.0,,,0,
Mumbai,Toluene,2020,4369,4369,0,100.0,,,0,
Mumbai,Xylene,2015,8759,8759,8160,6.84,0.0,0.0,0,0.0
Mumbai,Xylene,2016,8784,8784,4192,52.28,0.0,0.0,0,0.0
Mumbai,Xylene,2017,8760,8760,8040,8.22,0.0,41.78,0,0.0
Mumbai,Xylene,2018,8760,8760,2673,69.49,0.0,15.79,0,0.0
Mumbai,Xylene,2019,8760,8760,0,100.0,,,0,
Mumbai,Xylene,2020,4369,4369,0,100.0,,,0,
