city,pollutant,year,expected_hours,rows_in_file,non_null_readings,pct_missing,min_value,max_value,n_impossible,pct_impossible_of_readings
Bengaluru,Benzene,2019,8760,8760,8759,0.01,0.0,21.6,0,0.0
Bengaluru,Benzene,2020,4369,4369,4369,0.0,0.05,11.06,0,0.0
Bengaluru,CO,2015,8759,8759,5136,41.36,0.0,49.96,0,0.0
Bengaluru,CO,2016,8784,8784,8005,8.87,0.0,49.53,0,0.0
Bengaluru,CO,2017,8760,8760,8516,2.79,0.0,39.62,0,0.0
Bengaluru,CO,2018,8760,8760,8757,0.03,0.16,10.26,0,0.0
Bengaluru,CO,2019,8760,8760,8759,0.01,0.25,3.67,0,0.0
Bengaluru,CO,2020,4369,4369,4369,0.0,0.36,3.58,0,0.0
Bengaluru,NH3,2015,8759,8759,8174,6.68,0.02,374.96,0,0.0
Bengaluru,NH3,2016,8784,8784,6613,24.72,0.02,291.81,0,0.0
Bengaluru,NH3,2017,8760,8760,7165,18.21,2.33,485.82,0,0.0
Bengaluru,NH3,2018,8760,8760,5509,37.11,7.89,122.29,0,0.0
Bengaluru,NH3,2019,8760,8760,8759,0.01,4.65,55.76,0,0.0
Bengaluru,NH3,2020,4369,4369,4369,0.0,4.14,32.61,0,0.0
Bengaluru,NO,2015,8759,8759,8692,0.76,0.03,287.04,0,0.0
Bengaluru,NO,2016,8784,8784,8415,4.2,0.26,250.88,0,0.0
Bengaluru,NO,2017,8760,8760,8724,0.41,0.11,192.48,0,0.0
Bengaluru,NO,2018,8760,8760,8610,1.71,0.51,244.31,0,0.0
Bengaluru,NO,2019,8760,8760,8759,0.01,1.28,141.1,0,0.0
Bengaluru,NO,2020,4369,4369,4369,0.0,1.03,98.14,0,0.0
Bengaluru,NO2,2015,8759,8759,8692,0.76,0.06,155.31,0,0.0
Bengaluru,NO2,2016,8784,8784,8418,4.17,0.38,246.99,0,0.0
Bengaluru,NO2,2017,8760,8760,8724,0.41,5.33,362.12,0,0.0
Bengaluru,NO2,2018,8760,8760,8610,1.71,0.27,240.49,0,0.0
Bengaluru,NO2,2019,8760,8760,8759,0.01,6.0,120.73,0,0.0
Bengaluru,NO2,2020,4369,4369,4369,0.0,5.51,141.86,0,0.0
Bengaluru,NOx,2015,8759,8759,8682,0.88,0.01,138.44,0,0.0
Bengaluru,NOx,2016,8784,8784,8025,8.64,0.0,326.4,0,0.0
Bengaluru,NOx,2017,8760,8760,7512,14.25,0.0,193.73,0,0.0
Bengaluru,NOx,2018,8760,8760,8757,0.03,0.0,312.96,0,0.0
Bengaluru,NOx,2019,8760,8760,8759,0.01,6.61,191.66,0,0.0
Bengaluru,NOx,2020,4369,4369,4369,0.0,6.38,208.4,0,0.0
Bengaluru,O3,2015,8759,8759,8007,8.59,0.72,190.21,0,0.0
Bengaluru,O3,2016,8784,8784,6475,26.29,2.43,199.94,0,0.0
Bengaluru,O3,2017,8760,8760,7340,16.21,0.77,196.22,0,0.0
Bengaluru,O3,2018,8760,8760,8006,8.61,0.08,141.31,0,0.0
Bengaluru,O3,2019,8760,8760,8759,0.01,3.73,154.3,0,0.0
Bengaluru,O3,2020,4369,4369,4369,0.0,5.11,156.7,0,0.0
Bengaluru,PM10,2015,8759,8759,1105,87.38,0.42,272.47,0,0.0
Bengaluru,PM10,2016,8784,8784,7255,17.41,0.2,999.99,0,0.0
Bengaluru,PM10,2017,8760,8760,7818,10.75,0.01,789.4,0,0.0
Bengaluru,PM10,2018,8760,8760,7899,9.83,0.58,722.18,0,0.0
Bengaluru,PM10,2019,8760,8760,8759,0.01,8.12,266.03,0,0.0
Bengaluru,PM10,2020,4369,4369,4369,0.0,6.95,382.84,0,0.0
Bengaluru,PM2.5,2015,8759,8759,6795,22.42,0.27,500.26,0,0.0
Bengaluru,PM2.5,2016,8784,8784,7097,19.21,0.01,999.99,0,0.0
Bengaluru,PM2.5,2017,8760,8760,8359,4.58,0.01,999.99,0,0.0
Bengaluru,PM2.5,2018,8760,8760,8182,6.6,0.23,999.99,0,0.0
Bengaluru,PM2.5,2019,8760,8760,8759,0.01,4.74,222.57,0,0.0
Bengaluru,PM2.5,2020,4369,4369,4369,0.0,5.03,207.64,0,0.0
Bengaluru,SO2,2015,8759,8759,8584,2.0,0.01,198.3,0,0.0
Bengaluru,SO2,2016,8784,8784,8406,4.3,0.02,69.24,0,0.0
Bengaluru,SO2,2017,8760,8760,8721,0.45,0.12,69.73,0,0.0
Bengaluru,SO2,2018,8760,8760,8608,1.74,0.13,63.97,0,0.0
Bengaluru,SO2,2019,8760,8760,8759,0.01,2.09,26.88,0,0.0
Bengaluru,SO2,2020,4369,4369,4369,0.0,2.39,26.78,0,0.0
Bengaluru,Toluene,2015,8759,8759,5471,37.54,0.0,499.4,0,0.0
Bengaluru,Toluene,2016,8784,8784,6126,30.26,0.0,215.9,0,0.0
Bengaluru,Toluene,2017,8760,8760,7767,11.34,0.0,35.65,0,0.0
Bengaluru,Toluene,2018,8760,8760,8501,2.96,0.0,102.35,0,0.0
Bengaluru,Toluene,2019,8760,8760,8759,0.01,0.13,71.84,0,0.0
Bengaluru,Toluene,2020,4369,4369,4369,0.0,0.18,77.22,0,0.0
Bengaluru,Xylene,2015,8759,8759,0,100.0,,,0,
Bengaluru,Xylene,2016,8784,8784,0,100.0,,,0,
Bengaluru,Xylene,2017,8760,8760,0,100.0,,,0,
Bengaluru,Xylene,2018,8760,8760,0,100.0,,,0,
Bengaluru,Xylene,2019,8760,8760,0,100.0,,,0,
Bengaluru,Xylene,2020,4369,4369,0,100.0,,,0,
Chennai,Benzene,2015,8759,8759,1680,80.82,0.01,391.88,0,0.0
Chennai,Benzene,2016,8784,8784,7099,19.18,0.0,133.39,0,0.0
Chennai,Benzene,2017,8760,8760,8684,0.87,0.0,120.4,0,0.0
Chennai,Benzene,2018,8760,8760,8609,1.72,0.0,28.5,0,0.0
